DEBUG 2024-05-25 09:16:37,359 autoreload File /home/dragos/dj/samboan/SamboApp/env/lib/python3.10/site-packages/django/contrib/contenttypes/__init__.py first seen with mtime 1714757756.0225136
DEBUG 2024-05-25 09:16:37,359 autoreload File /home/dragos/dj/samboan/SamboApp/env/lib/python3.10/site-packages/django/templatetags/tz.py first seen with mtime 1714757756.2625008
DEBUG 2024-05-25 09:16:37,359 autoreload File /home/dragos/dj/samboan/SamboApp/env/lib/python3.10/site-packages/urllib3/filepost.py first seen with mtime 1716131546.1116452
DEBUG 2024-05-25 09:16:37,359 autoreload File /home/dragos/dj/samboan/SamboApp/env/lib/python3.10/site-packages/django/db/models/sql/__init__.py first seen with mtime 1714757756.242502
DEBUG 2024-05-25 09:16:37,359 autoreload File /home/dragos/dj/samboan/SamboApp/env/lib/python3.10/site-packages/django/db/backends/base/features.py first seen with mtime 1714757756.2305026
DEBUG 2024-05-25 09:16:37,359 autoreload File /home/dragos/dj/samboan/SamboApp/env/lib/python3.10/site-packages/urllib3/__init__.py first seen with mtime 1716131546.1076453
DEBUG 2024-05-25 09:16:37,359 autoreload File /home/dragos/dj/samboan/SamboApp/env/lib/python3.10/site-packages/django/db/backends/base/client.py first seen with mtime 1714757756.2305026
DEBUG 2024-05-25 09:16:37,359 autoreload File /etc/python3.10/sitecustomize.py first seen with mtime 1648890259.0
DEBUG 2024-05-25 09:16:37,359 autoreload File /home/dragos/dj/samboan/SamboApp/env/lib/python3.10/site-packages/web3/_utils/filters.py first seen with mtime 1716323058.7981486
DEBUG 2024-05-25 09:16:37,359 autoreload File /home/dragos/dj/samboan/SamboApp/env/lib/python3.10/site-packages/django/templatetags/__init__.py first seen with mtime 1714757756.2625008
DEBUG 2024-05-25 09:16:37,359 autoreload File /usr/lib/python3.10/concurrent/futures/thread.py first seen with mtime 1700493245.0
DEBUG 2024-05-25 09:16:37,359 autoreload File /usr/lib/python3.10/email/_encoded_words.py first seen with mtime 1700493245.0
DEBUG 2024-05-25 09:16:37,359 autoreload File /home/dragos/dj/samboan/SamboApp/env/lib/python3.10/site-packages/pyunormalize/normalization.py first seen with mtime 1699696420.0
DEBUG 2024-05-25 09:16:37,359 autoreload File /home/dragos/dj/samboan/SamboApp/env/lib/python3.10/site-packages/django/db/migrations/migration.py first seen with mtime 1714757756.238502
DEBUG 2024-05-25 09:16:37,359 autoreload File /home/dragos/dj/samboan/SamboApp/env/lib/python3.10/site-packages/django/utils/timesince.py first seen with mtime 1714757756.2665005
DEBUG 2024-05-25 09:16:37,359 autoreload File /home/dragos/dj/samboan/SamboApp/env/lib/python3.10/site-packages/django/db/models/query.py first seen with mtime 1714757756.242502
DEBUG 2024-05-25 09:16:37,359 autoreload File /home/dragos/dj/samboan/SamboApp/env/lib/python3.10/site-packages/aiohttp/cookiejar.py first seen with mtime 1716323058.5621471
DEBUG 2024-05-25 09:16:37,359 autoreload File /home/dragos/dj/samboan/SamboApp/env/lib/python3.10/site-packages/django/utils/tree.py first seen with mtime 1714757756.2665005
DEBUG 2024-05-25 09:16:37,359 autoreload File /home/dragos/dj/samboan/SamboApp/env/lib/python3.10/site-packages/django/db/migrations/operations/fields.py first seen with mtime 1714757756.238502
DEBUG 2024-05-25 09:16:37,359 autoreload File /home/dragos/dj/samboan/SamboApp/env/lib/python3.10/site-packages/web3/providers/eth_tester/middleware.py first seen with mtime 1716323058.8061488
